Date,Team1,Team2,Group,Venue,Country,Result
6/1/2024,U.S.A.,Canada,Group A,Dallas,U.S.A.,
6/5/2024,India,Ireland,Group A,New York,U.S.A.,
6/6/2024,U.S.A.,Pakistan,Group A,Dallas,U.S.A.,
6/7/2024,Canada,Ireland,Group A,New York,U.S.A.,
6/9/2024,India,Pakistan,Group A,New York,U.S.A.,
6/11/2024,Pakistan,Canada,Group A,New York,U.S.A.,
6/12/2024,U.S.A.,India,Group A,New York,U.S.A.,
6/14/2024,U.S.A.,Ireland,Group A,Lauderhill,U.S.A.,
6/15/2024,India,Canada,Group A,Lauderhill,U.S.A.,
6/16/2024,Pakistan,Ireland,Group A,Lauderhill,U.S.A.,
6/2/2024,Namibia,Oman,Group B,Barbados,West-Indies,
6/4/2024,England,Scotland,Group B,Barbados,West-Indies,
6/5/2024,Australia,Oman,Group B,Barbados,West-Indies,
6/6/2024,Namibia,Scotland,Group B,Barbados,West-Indies,
6/8/2024,Australia,England,Group B,Barbados,West-Indies,
6/9/2024,Oman,Scotland,Group B,Antigua and Barbuda,West-Indies,
6/11/2024,Australia,Namibia,Group B,Antigua and Barbuda,West-Indies,
6/13/2024,England,Oman,Group B,Antigua and Barbuda,West-Indies,
6/15/2024,Namibia,England,Group B,Antigua and Barbuda,West-Indies,
6/15/2024,Australia,Scotland,Group B,Saint Lucia,West-Indies,
6/2/2024,West Indies,P.N.G.,Group C,Guyana,West-Indies,
6/3/2024,Afghanistan,Uganda,Group C,Guyana,West-Indies,
6/5/2024,P.N.G.,Uganda,Group C,Guyana,West-Indies,
6/7/2024,New Zealand,Afghanistan,Group C,Guyana,West-Indies,
6/8/2024,West Indies,Uganda,Group C,Guyana,West-Indies,
6/12/2024,West Indies,New Zealand,Group C,Trinidad and Tobago,West-Indies,
6/13/2024,Afghanistan,P.N.G.,Group C,Trinidad and Tobago,West-Indies,
6/14/2024,New Zealand,Uganda,Group C,Trinidad and Tobago,West-Indies,
6/17/2024,New Zealand,P.N.G.,Group C,Trinidad and Tobago,West-Indies,
6/17/2024,West Indies,Afghanistan,Group C,Saint Lucia,West-Indies,
6/3/2024,Sri Lanka,South Africa,Group D,New York,U.S.A.,
6/4/2024,Netherlands,Nepal,Group D,Dallas,U.S.A.,
6/7/2024,Sri Lanka,Bangladesh,Group D,Dallas,U.S.A.,
6/8/2024,Netherlands,South Africa,Group D,New York,U.S.A.,
6/10/2024,South Africa,Bangladesh,Group D,New York,U.S.A.,
6/11/2024,Sri Lanka,Nepal,Group D,Lauderhill,U.S.A.,
6/13/2024,Bangladesh,Netherlands,Group D,Saint Vincent and the Grenadines,West-Indies,
6/14/2024,South Africa,Nepal,Group D,Saint Vincent and the Grenadines,West-Indies,
6/16/2024,Bangladesh,Nepal,Group D,Saint Vincent and the Grenadines,West-Indies,
6/16/2024,Sri Lanka,Netherlands,Group D,Saint Lucia,West-Indies,
6/19/2024,A2,D1,Group 2,Antigua and Barbuda,West-Indies,
6/19/2024,B1,C2,Group 2,Saint Lucia,West-Indies,
6/20/2024,C1,A1,Group 1,Barbados,West-Indies,
6/20/2024,B2,D2,Group 1,Antigua and Barbuda,West-Indies,
6/21/2024,B1,D1,Group 2,Saint Lucia,West-Indies,
6/21/2024,A2,C2,Group 2,Barbados,West-Indies,
6/22/2024,A1,D2,Group 1,Antigua and Barbuda,West-Indies,
6/22/2024,C1,B2,Group 1,Saint Vincent and the Grenadines,West-Indies,
6/23/2024,A2,B1,Group 2,Barbados,West-Indies,
6/23/2024,C2,D1,Group 2,Antigua and Barbuda,West-Indies,
6/24/2024,B2,A1,Group 1,Saint Lucia,West-Indies,
6/24/2024,C1,D2,Group 1,Saint Vincent and the Grenadines,West-Indies,
6/26/2024,G1C,G2R,Semi-final 1,Guyana,West-Indies,
6/27/2024,G2C,G1R,Semi-final 2,Trinidad and Tobago,West-Indies,
6/29/2024,S1,S2,Final,Barbados,West-Indies,
