Date,Team1,Team2,Winner,Venue
2/17/2005,New Zealand,Australia,Australia,Auckland
6/13/2005,England,Australia,England,Southampton
10/21/2005,South Africa,New Zealand,New Zealand,Johannesburg
1/9/2006,Australia,South Africa,Australia,Brisbane
2/16/2006,New Zealand,West Indies,tied,Auckland
2/24/2006,South Africa,Australia,South Africa,Johannesburg
6/15/2006,England,Sri Lanka,Sri Lanka,Southampton
8/28/2006,England,Pakistan,Pakistan,Bristol
11/28/2006,Bangladesh,Zimbabwe,Bangladesh,Khulna
12/1/2006,South Africa,India,India,Johannesburg
12/22/2006,New Zealand,Sri Lanka,Sri Lanka,Wellington
12/26/2006,New Zealand,Sri Lanka,New Zealand,Auckland
1/9/2007,Australia,England,Australia,Sydney
2/2/2007,South Africa,Pakistan,South Africa,Johannesburg
6/28/2007,England,West Indies,West Indies,The Oval
6/29/2007,England,West Indies,England,The Oval
9/1/2007,Kenya,Bangladesh,Bangladesh,Nairobi (Gym)
9/2/2007,Bangladesh,Pakistan,Pakistan,Nairobi (Gym)
9/4/2007,Kenya,Pakistan,Pakistan,Nairobi (Gym)
9/11/2007,South Africa,West Indies,South Africa,Johannesburg
9/12/2007,Australia,Zimbabwe,Zimbabwe,Cape Town
9/12/2007,Pakistan,Scotland,Pakistan,Durban
9/12/2007,Kenya,New Zealand,New Zealand,Durban
9/13/2007,India,Scotland,tied,Durban
9/13/2007,England,Zimbabwe,England,Cape Town
9/13/2007,Bangladesh,West Indies,Bangladesh,Johannesburg
9/14/2007,India,Pakistan,tied,Durban
9/14/2007,Australia,England,Australia,Cape Town
9/14/2007,Kenya,Sri Lanka,Sri Lanka,Johannesburg
9/15/2007,South Africa,Bangladesh,South Africa,Cape Town
9/15/2007,New Zealand,Sri Lanka,Sri Lanka,Johannesburg
9/16/2007,South Africa,England,South Africa,Cape Town
9/16/2007,Australia,Bangladesh,Australia,Cape Town
9/16/2007,India,New Zealand,New Zealand,Johannesburg
9/17/2007,Pakistan,Sri Lanka,Pakistan,Johannesburg
9/18/2007,Bangladesh,Sri Lanka,Sri Lanka,Johannesburg
9/18/2007,Australia,Pakistan,Pakistan,Johannesburg
9/18/2007,England,New Zealand,New Zealand,Durban
9/19/2007,England,India,India,Durban
9/19/2007,South Africa,New Zealand,South Africa,Durban
9/20/2007,South Africa,India,India,Durban
9/20/2007,Bangladesh,Pakistan,Pakistan,Cape Town
9/20/2007,Australia,Sri Lanka,Australia,Cape Town
9/22/2007,Australia,India,India,Durban
9/22/2007,New Zealand,Pakistan,Pakistan,Cape Town
9/24/2007,India,Pakistan,India,Johannesburg
10/20/2007,India,Australia,India,Brabourne
11/23/2007,South Africa,New Zealand,South Africa,Johannesburg
12/11/2007,Australia,New Zealand,Australia,Perth
12/16/2007,South Africa,West Indies,West Indies,Gqeberha
1/18/2008,South Africa,West Indies,South Africa,Johannesburg
2/1/2008,Australia,India,Australia,Melbourne
2/5/2008,New Zealand,England,England,Auckland
2/7/2008,New Zealand,England,England,Christchurch
