Rank,Team,Matches,Points,Rating
1,India,47,12410,264
2,Australia,33,8471,257
3,England,30,7569,252
4,South Africa,23,5749,250
5,New Zealand,45,11229,250
6,West Indies,36,8950,249
7,Pakistan,40,9821,246
8,Sri Lanka,34,7898,232
9,Bangladesh,40,9193,230
10,Afghanistan,31,6725,217
11,Ireland,42,8203,195
12,Zimbabwe,41,7878,192
13,Namibia,33,6253,189
14,Netherlands,15,2841,189
15,Scotland,19,3586,189
16,UAE,42,7386,176
17,Nepal,36,6147,171
18,Oman,34,5605,165
19,U.S.A.,11,1662,151
20,P.N.G.,27,3981,147
21,Hong Kong,37,4977,135
22,Uganda,58,7782,134
23,Canada,18,2251,125
24,Malaysia,40,4931,123
25,Kuwait,31,3677,119
